family,effect,replicate,seed,stream_type,evaluation,method,alarm_time,false_alarm,conditional_eligible,post_change_detected,censored,run_length_units,run_length_cycles,restricted_delay_units,time_unit_cycles,restricted_delay_cycles,restriction_horizon_units,restriction_horizon_cycles,threshold
spatial,0.55,25,60000025,no_change,null_arl,vAOC / same-feature Hotelling,187,True,True,False,False,187,187,,1,,1000,1000,200.0
spatial,0.55,25,60000025,no_change,null_arl,matched correlation witness,236,True,True,False,False,236,236,,1,,1000,1000,200.0
spatial,0.55,25,60000025,no_change,null_arl,exact one-cycle likelihood grid SR,379,True,True,False,False,379,379,,1,,1000,1000,200.0
spatial,0.55,25,60000025,no_change,null_arl,known-post one-cycle likelihood SR,379,True,True,False,False,379,379,,1,,1000,1000,200.0
spatial,0.55,25,60000025,no_change,null_arl,validation-trained linear logistic effect,218,True,True,False,False,218,218,,1,,1000,1000,200.0
spatial,0.55,26,60000026,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,26,60000026,no_change,null_arl,raw symmetry-resolved AOC,177,True,True,False,False,177,177,,1,,1000,1000,200.0
spatial,0.55,26,60000026,no_change,null_arl,vAOC / same-feature Hotelling,226,True,True,False,False,226,226,,1,,1000,1000,200.0
spatial,0.55,26,60000026,no_change,null_arl,matched correlation witness,208,True,True,False,False,208,208,,1,,1000,1000,200.0
spatial,0.55,26,60000026,no_change,null_arl,exact one-cycle likelihood grid SR,416,True,True,False,False,416,416,,1,,1000,1000,200.0
spatial,0.55,26,60000026,no_change,null_arl,known-post one-cycle likelihood SR,416,True,True,False,False,416,416,,1,,1000,1000,200.0
spatial,0.55,26,60000026,no_change,null_arl,validation-trained linear logistic effect,210,True,True,False,False,210,210,,1,,1000,1000,200.0
spatial,0.55,27,60000027,no_change,null_arl,DFR/count exact pushforward,200,True,True,False,False,200,200,,1,,1000,1000,200.0
spatial,0.55,27,60000027,no_change,null_arl,raw symmetry-resolved AOC,192,True,True,False,False,192,192,,1,,1000,1000,200.0
spatial,0.55,27,60000027,no_change,null_arl,vAOC / same-feature Hotelling,191,True,True,False,False,191,191,,1,,1000,1000,200.0
spatial,0.55,27,60000027,no_change,null_arl,matched correlation witness,174,True,True,False,False,174,174,,1,,1000,1000,200.0
