family,dimension,seed,strength,commutator,offdiagonal_residual,deca_success,pgm_success,oracle_success,oracle_gap,gap_bound,bound_slack,jacobi_sweeps
noncommuting_sweep,4,6,0.0,1.090027691997942e-17,0.032662128066217815,0.664469336756639,0.5365713742392408,0.6644693318380912,-4.918547791277206e-09,0.06532425613243563,0.06532426105098342,4
noncommuting_sweep,4,6,0.125,0.013937285659912146,0.09346507312000132,0.6537142409833514,0.5291334069665805,0.6537142362044706,-4.778880846600941e-09,0.18693014624000265,0.1869301510188835,6
noncommuting_sweep,4,6,0.25,0.02217280016103898,0.12913975100048594,0.6265834122573677,0.5121300076249367,0.626583408572448,-3.6849197027066793e-09,0.2582795020009719,0.2582795056858916,6
noncommuting_sweep,4,6,0.375,0.022268180807559886,0.16864848673568816,0.5975359734895827,0.49560706078099676,0.5975359695059739,-3.983608776181313e-09,0.3372969734713763,0.3372969774549851,9
noncommuting_sweep,4,6,0.5,0.017725160598069948,0.1723242625801216,0.5813114461412683,0.4842837804945996,0.5813114392684746,-6.872793667511701e-09,0.3446485251602432,0.34464853203303686,8
noncommuting_sweep,4,6,0.625,0.017400076625798813,0.15107920594021448,0.5717130900487516,0.47596497955474054,0.5717130699558012,-2.0092950414607458e-08,0.30215841188042897,0.3021584319733794,12
noncommuting_sweep,4,6,0.75,0.021264977483657903,0.17600103431460107,0.5604643903394053,0.4683670061481161,0.5604643836811616,-6.658243734136704e-09,0.35200206862920214,0.35200207528744587,10
noncommuting_sweep,4,6,0.875,0.022602829395776392,0.1728946445642563,0.5532837011096752,0.4619902674263238,0.5532836997590042,-1.3506710194732818e-09,0.3457892891285126,0.3457892904791836,8
noncommuting_sweep,4,6,1.0,0.022079345323390717,0.17459887197139357,0.5545454872666764,0.45871414306334324,0.5545454771222764,-1.0144399986700137e-08,0.34919774394278713,0.3491977540871871,10
noncommuting_sweep,4,7,0.0,2.7682422622389057e-17,1.9823818120883963e-16,0.8038679343908055,0.690024466964642,0.803867933727498,-6.633075200213057e-10,3.9647636241767926e-16,6.633079164976681e-10,1
noncommuting_sweep,4,7,0.125,0.0337518344363327,0.10858693038598806,0.7776459043157948,0.6640149463019446,0.7776459030818512,-1.2339436139541249e-09,0.21717386077197612,0.21717386200591973,6
noncommuting_sweep,4,7,0.25,0.04702906004683977,0.19809486003911358,0.7045431052950596,0.5961148806882346,0.7045431003402425,-4.954817112157173e-09,0.39618972007822717,0.3961897250330443,9
noncommuting_sweep,4,7,0.375,0.03960100725751084,0.2615894771852538,0.6001416092013598,0.5207572646232681,0.600141607539455,-1.6619048359700628e-09,0.5231789543705077,0.5231789560324125,25
noncommuting_sweep,4,7,0.5,0.03926802323850752,0.22125379484975286,0.5637899814134021,0.4883064226521522,0.5637899777698905,-3.6435116035349324e-09,0.4425075896995057,0.4425075933430173,13
noncommuting_sweep,4,7,0.625,0.0543056267215748,0.26425024110706613,0.6032581474383705,0.5019345055939806,0.6032581293426864,-1.8095684062302553e-08,0.5285004822141323,0.5285005003098163,11
noncommuting_sweep,4,7,0.75,0.06041776909085784,0.24819540084886454,0.6366306333355336,0.5277288664692255,0.6366306150207759,-1.8314757710413687e-08,0.4963908016977291,0.4963908200124868,7
noncommuting_sweep,4,7,0.875,0.05399517014305402,0.21999694153765423,0.6705504382700095,0.5599165379596394,0.6705504324948218,-5.775187661427594e-09,0.43999388307530846,0.4399938888504961,7
noncommuting_sweep,4,7,1.0,0.04293648346573167,0.17051079418037407,0.7169990793722929,0.603664012524774,0.7169990762472245,-3.1250684262573714e-09,0.34102158836074814,0.34102159148581657,5
