scenario,effect,method_id,method_label,feature_family,estimator,feature_dimension,train_windows,validation_windows,test_windows,fixed_parameters,fit_seconds,validation_score_seconds,test_score_seconds,validation_threshold,validation_roc_auc,validation_balanced_accuracy,test_roc_auc,test_balanced_accuracy,test_true_negative,test_false_positive,test_false_negative,test_true_positive,test_true_negative_rate,test_true_positive_rate
temporal,0.75,detector_first_moment::positive_part_mean_direction,Detector first moment · Positive-part mean direction,detector_first_moment,positive_part_mean_direction,25,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 13, ""simplex_operator_interpretation"": false}",9.31379618123e-05,1.80039787665e-05,2.60641099885e-05,0.104045043498,0.466971875,0.50375,0.5124195,0.5005,997,3,996,4,0.997,0.004
temporal,0.75,detector_first_moment::regularized_hotelling,Detector first moment · Regularized Hotelling,detector_first_moment,regularized_hotelling,25,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 2.8717726324317754e-05, ""ridge_fraction"": 0.05}",0.000313188997097,1.33120920509e-05,2.57040373981e-05,0.0448556194269,0.46745,0.5,0.503154,0.501,1000,0,998,2,1,0.002
temporal,0.75,translation::linear_logistic,Translation statistic / pair lift · Linear logistic,translation,linear_logistic,9,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00244627997745,0.000240651890635,0.000323109910823,-0.0191884547771,0.891425,0.80875,0.885219,0.7995,762,238,163,837,0.762,0.837
temporal,0.75,translation::rbf_svm,Translation statistic / pair lift · RBF SVM,translation,rbf_svm,9,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0502800618997,0.0357105220901,0.0571749299997,-0.465039615076,0.679025,0.6375,0.682875,0.632,634,366,370,630,0.634,0.63
temporal,0.75,translation::positive_part_mean_direction,Translation statistic / pair lift · Positive-part mean direction,translation,positive_part_mean_direction,9,1600,800,2000,"{""l1_normalized"": true, ""positive_support_size"": 8, ""simplex_operator_interpretation"": false}",7.09810992703e-05,1.07489759102e-05,1.21520133689e-05,0.564124681921,0.5176125,0.5225,0.502297,0.491,355,645,373,627,0.355,0.627
temporal,0.75,translation::regularized_hotelling,Translation statistic / pair lift · Regularized Hotelling,translation,regularized_hotelling,9,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 2.193618777659358e-05, ""ridge_fraction"": 0.05}",0.000212654005736,6.38095661998e-06,9.61602199823e-06,-0.0115633790786,0.56106875,0.56375,0.560782,0.5475,649,351,554,446,0.649,0.446
temporal,0.75,symmetry_fourier::linear_logistic,D4 Fourier / pair lift · Linear logistic,symmetry_fourier,linear_logistic,36,1600,800,2000,"{""C"": 1.0, ""standardized"": true}",0.00353349698707,0.000348230008967,0.000438963994384,-0.66554401175,0.95015,0.8825,0.946676,0.8685,812,188,75,925,0.812,0.925
temporal,0.75,symmetry_fourier::rbf_svm,D4 Fourier / pair lift · RBF SVM,symmetry_fourier,rbf_svm,36,1600,800,2000,"{""C"": 1.0, ""gamma"": ""scale"", ""standardized"": true}",0.0216691440437,0.0177477600519,0.0444475599797,0.239393889524,0.94035625,0.86875,0.940566,0.864,907,93,179,821,0.907,0.821
temporal,0.75,symmetry_fourier::simplex_positive_support_projector,D4 Fourier / pair lift · Simplex indicator positive-support projector,symmetry_fourier,simplex_positive_support_projector,36,1600,800,2000,"{""indicator_effect"": true, ""positive_support_size"": 18, ""simplex_operator_interpretation"": true}",0.000188364065252,2.03989911824e-05,3.28839523718e-05,0.720245294811,0.52505,0.535,0.518481,0.5155,576,424,545,455,0.576,0.455
temporal,0.75,symmetry_fourier::regularized_hotelling,D4 Fourier / pair lift · Regularized Hotelling,symmetry_fourier,regularized_hotelling,36,1600,800,2000,"{""absolute_floor"": 1e-08, ""l2_normalized"": true, ""realized_ridge"": 9.477949986928394e-07, ""ridge_fraction"": 0.05}",0.000354705029167,1.48919643834e-05,2.97339865938e-05,-0.00540265277145,0.7916875,0.72125,0.768531,0.6905,667,333,286,714,0.667,0.714
