observable,displacement_index,delta_row,delta_column,start_row,start_column,first_detector,second_detector,state,q,copies,method,exact_expectation,mean_estimate,bias,rmse,theoretical_estimator_standard_error
ZZ_d1_r1_c0,1,1,0,1,0,5,10,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.70037841796875,-0.029298462031249764,0.3814913468605594,0.3637386521166645
ZZ_d1_r1_c1,1,1,0,1,1,6,11,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.76190185546875,0.032224975468750264,0.3763649039337721,0.3637386521166645
ZZ_d1_r1_c2,1,1,0,1,2,7,12,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.73883056640625,0.009153686406250123,0.38807277033210374,0.3637386521166645
ZZ_d1_r1_c3,1,1,0,1,3,8,13,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.77618408203125,0.046507202031250236,0.38046613773486104,0.3637386521166645
ZZ_d1_r1_c4,1,1,0,1,4,9,14,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.73388671875,0.004209838750000028,0.34580012438248314,0.3637386521166645
ZZ_d1_r2_c0,1,1,0,2,0,10,15,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7119140625,-0.017762817499999924,0.36334929359064877,0.3637386521166645
ZZ_d1_r2_c1,1,1,0,2,1,11,16,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.74542236328125,0.015745483281250278,0.3614270749242132,0.3637386521166645
ZZ_d1_r2_c2,1,1,0,2,2,12,17,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.73004150390625,0.0003646239062501319,0.37201962007361655,0.3637386521166645
ZZ_d1_r2_c3,1,1,0,2,3,13,18,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.72564697265625,-0.004029907343749972,0.35163322602467867,0.3637386521166645
ZZ_d1_r2_c4,1,1,0,2,4,14,19,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7459716796875,0.016294799687500104,0.3304584226260003,0.3637386521166645
ZZ_d1_r3_c0,1,1,0,3,0,15,20,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.74542236328125,0.015745483281250153,0.3775257129138682,0.3637386521166645
ZZ_d1_r3_c1,1,1,0,3,1,16,21,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.75311279296875,0.02343591296875038,0.39538694362664706,0.3637386521166645
ZZ_d1_r3_c2,1,1,0,3,2,17,22,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.76519775390625,0.03552087390625016,0.3896494544378851,0.3637386521166645
ZZ_d1_r3_c3,1,1,0,3,3,18,23,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.75091552734375,0.02123864734375007,0.3715677391609069,0.3637386521166645
ZZ_d1_r3_c4,1,1,0,3,4,19,24,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.68609619140625,-0.04358068859374961,0.35438922895677494,0.3637386521166645
ZZ_d1_r4_c0,1,1,0,4,0,20,0,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.72674560546875,-0.00293127453124996,0.34061314917026725,0.3637386521166645
ZZ_d1_r4_c1,1,1,0,4,1,21,1,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.7349853515625,0.005308471562500047,0.37958415079100705,0.3637386521166645
ZZ_d1_r4_c2,1,1,0,4,2,22,2,null_q035,0.35,64,local_pauli_shadow,0.72967688,0.73773193359375,0.008055053593750078,0.37354405279682124,0.3637386521166645
